,Country Name,Country Code,Indicator Name,Indicator Code,2018
89,Greenland,GRL,"Population, total",SP.POP.TOTL,56025.0
90,Guatemala,GTM,"Population, total",SP.POP.TOTL,17247807.0
91,Guam,GUM,"Population, total",SP.POP.TOTL,165768.0
92,Guyana,GUY,"Population, total",SP.POP.TOTL,779004.0
93,High income,HIC,"Population, total",SP.POP.TOTL,1210312147.0
94,"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7451000.0
95,Honduras,HND,"Population, total",SP.POP.TOTL,9587522.0
96,Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,780234406.0
97,Croatia,HRV,"Population, total",SP.POP.TOTL,4089400.0
98,Haiti,HTI,"Population, total",SP.POP.TOTL,11123176.0
99,Hungary,HUN,"Population, total",SP.POP.TOTL,9768785.0
100,IBRD only,IBD,"Population, total",SP.POP.TOTL,4772284113.0
101,IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6412522234.0
102,IDA total,IDA,"Population, total",SP.POP.TOTL,1640238121.0
103,IDA blend,IDB,"Population, total",SP.POP.TOTL,555830605.0
104,Indonesia,IDN,"Population, total",SP.POP.TOTL,267663435.0
105,IDA only,IDX,"Population, total",SP.POP.TOTL,1084407516.0
106,Isle of Man,IMN,"Population, total",SP.POP.TOTL,84077.0
107,India,IND,"Population, total",SP.POP.TOTL,1352617328.0
108,Not classified,INX,"Population, total",SP.POP.TOTL,
109,Ireland,IRL,"Population, total",SP.POP.TOTL,4853506.0
110,"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,81800269.0
111,Iraq,IRQ,"Population, total",SP.POP.TOTL,38433600.0
112,Iceland,ISL,"Population, total",SP.POP.TOTL,353574.0
113,Israel,ISR,"Population, total",SP.POP.TOTL,8883800.0
114,Italy,ITA,"Population, total",SP.POP.TOTL,60431283.0
115,Jamaica,JAM,"Population, total",SP.POP.TOTL,2934855.0
116,Jordan,JOR,"Population, total",SP.POP.TOTL,9956011.0
117,Japan,JPN,"Population, total",SP.POP.TOTL,126529100.0
118,Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18276499.0
119,Kenya,KEN,"Population, total",SP.POP.TOTL,51393010.0
120,Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6315800.0
121,Cambodia,KHM,"Population, total",SP.POP.TOTL,16249798.0
122,Kiribati,KIR,"Population, total",SP.POP.TOTL,115847.0
123,St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,52441.0
124,"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51635256.0
125,Kuwait,KWT,"Population, total",SP.POP.TOTL,4137309.0
126,Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,609013934.0
127,Lao PDR,LAO,"Population, total",SP.POP.TOTL,7061507.0
128,Lebanon,LBN,"Population, total",SP.POP.TOTL,6848925.0
129,Liberia,LBR,"Population, total",SP.POP.TOTL,4818977.0
130,Libya,LBY,"Population, total",SP.POP.TOTL,6678567.0
131,St. Lucia,LCA,"Population, total",SP.POP.TOTL,181889.0
132,Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,641357515.0
133,Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1009662578.0
134,Low income,LIC,"Population, total",SP.POP.TOTL,705417321.0
135,Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37910.0
136,Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21670000.0
137,Lower middle income,LMC,"Population, total",SP.POP.TOTL,3022905169.0
138,Low & middle income,LMY,"Population, total",SP.POP.TOTL,6383958209.0
139,Lesotho,LSO,"Population, total",SP.POP.TOTL,2108132.0
140,Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2288665963.0
141,Lithuania,LTU,"Population, total",SP.POP.TOTL,2789533.0
142,Luxembourg,LUX,"Population, total",SP.POP.TOTL,607728.0
143,Latvia,LVA,"Population, total",SP.POP.TOTL,1926542.0
144,"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,631636.0
145,St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,37264.0
146,Morocco,MAR,"Population, total",SP.POP.TOTL,36029138.0
147,Monaco,MCO,"Population, total",SP.POP.TOTL,38682.0
148,Moldova,MDA,"Population, total",SP.POP.TOTL,3545883.0
149,Madagascar,MDG,"Population, total",SP.POP.TOTL,26262368.0
150,Maldives,MDV,"Population, total",SP.POP.TOTL,515696.0
151,Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,448912859.0
152,Mexico,MEX,"Population, total",SP.POP.TOTL,126190788.0
153,Marshall Islands,MHL,"Population, total",SP.POP.TOTL,58413.0
154,Middle income,MIC,"Population, total",SP.POP.TOTL,5678540888.0
155,North Macedonia,MKD,"Population, total",SP.POP.TOTL,2082958.0
156,Mali,MLI,"Population, total",SP.POP.TOTL,19077690.0
157,Malta,MLT,"Population, total",SP.POP.TOTL,483530.0
158,Myanmar,MMR,"Population, total",SP.POP.TOTL,53708395.0
159,Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,382896715.0
160,Montenegro,MNE,"Population, total",SP.POP.TOTL,622345.0
161,Mongolia,MNG,"Population, total",SP.POP.TOTL,3170208.0
162,Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,56882.0
163,Mozambique,MOZ,"Population, total",SP.POP.TOTL,29495962.0
164,Mauritania,MRT,"Population, total",SP.POP.TOTL,4403319.0
165,Mauritius,MUS,"Population, total",SP.POP.TOTL,1265303.0
166,Malawi,MWI,"Population, total",SP.POP.TOTL,18143315.0
167,Malaysia,MYS,"Population, total",SP.POP.TOTL,31528585.0
168,North America,NAC,"Population, total",SP.POP.TOTL,364290258.0
169,Namibia,NAM,"Population, total",SP.POP.TOTL,2448255.0
170,New Caledonia,NCL,"Population, total",SP.POP.TOTL,284060.0
171,Niger,NER,"Population, total",SP.POP.TOTL,22442948.0
172,Nigeria,NGA,"Population, total",SP.POP.TOTL,195874740.0
173,Nicaragua,NIC,"Population, total",SP.POP.TOTL,6465513.0
